Full Gtd 50 - 60,,,,,,,,
Age,Day one option,1 wk,4 wks,8 wks,13 wks,26 wks,52 wks,104 wks
17,"0,03644","0,03203","0,02646","0,02321","0,02205","0,01900","0,01607","0,01590"
18,"0,03644","0,03203","0,02646","0,02321","0,02205","0,01900","0,01607","0,01590"
19,"0,03644","0,03203","0,02646","0,02321","0,02205","0,01900","0,01607","0,01590"
20,"0,03644","0,03203","0,02646","0,02321","0,02205","0,01900","0,01607","0,01590"
21,"0,03644","0,03203","0,02646","0,02321","0,02205","0,01900","0,01607","0,01590"
22,"0,03644","0,03203","0,02646","0,02321","0,02205","0,01900","0,01607","0,01590"
23,"0,03644","0,03203","0,02646","0,02321","0,02205","0,01900","0,01607","0,01590"
24,"0,03644","0,03203","0,02646","0,02321","0,02205","0,01900","0,01607","0,01590"
25,"0,03644","0,03203","0,02646","0,02321","0,02205","0,01900","0,01607","0,01590"
26,"0,03644","0,03203","0,02646","0,02321","0,02205","0,01900","0,01607","0,01590"
27,"0,03644","0,03203","0,02646","0,02321","0,02205","0,01900","0,01607","0,01590"
28,"0,03644","0,03203","0,02646","0,02321","0,02205","0,01900","0,01607","0,01590"
29,"0,03644","0,03203","0,02646","0,02321","0,02205","0,01900","0,01607","0,01590"
30,"0,03644","0,03203","0,02646","0,02321","0,02205","0,01900","0,01607","0,01590"
31,"0,03780","0,03318","0,02751","0,02405","0,02289","0,01974","0,01680","0,01663"
32,"0,03927","0,03455","0,02856","0,02499","0,02384","0,02068","0,01764","0,01746"
33,"0,04084","0,03591","0,02971","0,02593","0,02478","0,02152","0,01848","0,01830"
34,"0,04273","0,03748","0,03108","0,02719","0,02583","0,02257","0,01932","0,01913"
35,"0,04473","0,03927","0,03255","0,02845","0,02709","0,02373","0,02037","0,02017"
36,"0,04714","0,04137","0,03423","0,03003","0,02856","0,02509","0,02163","0,02141"
37,"0,04907","0,04378","0,03622","0,03171","0,03024","0,02667","0,02310","0,02286"
38,"0,05059","0,04662","0,03853","0,03370","0,03213","0,02845","0,02478","0,02453"
39,"0,05241","0,04848","0,04115","0,03601","0,03422","0,03055","0,02666","0,02639"
40,"0,05422","0,05150","0,04389","0,03843","0,03654","0,03275","0,02876","0,02847"
41,"0,05694","0,05411","0,04673","0,04084","0,03895","0,03506","0,03086","0,03056"
42,"0,06008","0,05708","0,04913","0,04347","0,04137","0,03737","0,03307","0,03266"
