Full Rev 50 - 60,,,,,,,,
Age,Day one option,1 wk,4 wks,8 wks,13 wks,26 wks,52 wks,104 wks
17,"0,03435","0,0302","0,02495","0,02188","0,02079","0,01792","0,01515","0,015"
18,"0,03435","0,0302","0,02495","0,02188","0,02079","0,01792","0,01515","0,015"
19,"0,03435","0,0302","0,02495","0,02188","0,02079","0,01792","0,01515","0,015"
20,"0,03435","0,0302","0,02495","0,02188","0,02079","0,01792","0,01515","0,015"
21,"0,03435","0,0302","0,02495","0,02188","0,02079","0,01792","0,01515","0,015"
22,"0,03435","0,0302","0,02495","0,02188","0,02079","0,01792","0,01515","0,015"
23,"0,03435","0,0302","0,02495","0,02188","0,02079","0,01792","0,01515","0,015"
24,"0,03435","0,0302","0,02495","0,02188","0,02079","0,01792","0,01515","0,015"
25,"0,03435","0,0302","0,02495","0,02188","0,02079","0,01792","0,01515","0,015"
26,"0,03435","0,0302","0,02495","0,02188","0,02079","0,01792","0,01515","0,015"
27,"0,03435","0,0302","0,02495","0,02188","0,02079","0,01792","0,01515","0,015"
28,"0,03435","0,0302","0,02495","0,02188","0,02079","0,01792","0,01515","0,015"
29,"0,03435","0,0302","0,02495","0,02188","0,02079","0,01792","0,01515","0,015"
30,"0,03435","0,0302","0,02495","0,02188","0,02079","0,01792","0,01515","0,015"
31,"0,03564","0,03128","0,02594","0,02267","0,02158","0,01861","0,01584","0,01568"
32,"0,03703","0,03257","0,02693","0,02356","0,02247","0,0195","0,01663","0,01646"
33,"0,03851","0,03386","0,02802","0,02445","0,02336","0,02029","0,01742","0,01725"
34,"0,04029","0,03534","0,0293","0,02564","0,02435","0,02128","0,01822","0,01803"
35,"0,04217","0,03702","0,03069","0,02683","0,02554","0,02237","0,01921","0,01901"
36,"0,04445","0,039","0,03227","0,02831","0,02693","0,02366","0,02039","0,02019"
37,"0,04626","0,04128","0,03415","0,0299","0,02851","0,02514","0,02178","0,02156"
38,"0,0477","0,04396","0,03633","0,03177","0,03029","0,02682","0,02336","0,02313"
39,"0,04941","0,04571","0,0388","0,03395","0,03227","0,0288","0,02514","0,02489"
40,"0,05112","0,04856","0,04138","0,03623","0,03445","0,03088","0,02712","0,02685"
41,"0,05369","0,05101","0,04406","0,03851","0,03673","0,03306","0,0291","0,02881"
42,"0,05665","0,05382","0,04632","0,04099","0,03901","0,03524","0,03118","0,03079"
43,"0,05958","0,05661","0,04914","0,04346","0,04138","0,03761","0,03326","0,03264"
44,"0,06137","0,05829","0,05103","0,04603","0,04386","0,04009","0,03544","0,03453"
45,"0,06314","0,05998","0,05292","0,0474","0,04508","0,04172","0,03716","0,03547"
46,"0,06493","0,06169","0,05481","0,04851","0,04619","0,04293","0,03838","0,03625"
47,"0,06671","0,06337","0,05669","0,0499","0,0475","0,04423","0,03959","0,03695"
48,"0,06849","0,06507","0,05856","0,05166","0,04916","0,0456","0,04085","0,03761"
49,"0,07172","0,06812","0,06154","0,0539","0,0513","0,04798","0,04238","0,03839"
50,"0,07493","0,07119","0,06479","0,05669","0,05399","0,05077","0,045","0,03995"
51,"0,07816","0,07426","0,06843","0,05995","0,05706","0,05395","0,0476","0,04121"
52,"0,08139","0,07731","0,07194","0,06348","0,06041","0,05674","0,05021","0,04205"
53,"0,08451","0,08028","0,07527","0,06706","0,06389","0,05953","0,05282","0,04222"
54,"0,08874","0,08432","0,07897","0,07053","0,06718","0,06152","0,05543","0,04601"
55,"0,093","0,08835","0,08294","0,07347","0,06913","0,06353","0,05803","0,04817"
56,"0,09724","0,09238","0,08691","0,07654","0,07206","0,0663","0,06065","0,05034"
57,"0,10148","0,09641","0,09089","0,07962","0,07498","0,06908","0,06324","0,05249"
58,"0,10574","0,10045","0,09486","0,08269","0,07792","0,07186","0,06586","0,0548"
59,"0,10998","0,10448","0,09883","0,08577","0,08083","0,07465","0,06846","0,05696"
,,,,,,,,
Full Rev 61 - 65,,,,,,,,
Age,Day one option,1 wk,4 wks,8 wks,13 wks,26 wks,52 wks,104 wks
17,"0,03435","0,0302","0,02495","0,02188","0,02079","0,01792","0,01515","0,015"
18,"0,03435","0,0302","0,02495","0,02188","0,02079","0,01792","0,01515","0,015"
19,"0,03435","0,0302","0,02495","0,02188","0,02079","0,01792","0,01515","0,015"
20,"0,03435","0,0302","0,02495","0,02188","0,02079","0,01792","0,01515","0,015"
21,"0,03435","0,0302","0,02495","0,02188","0,02079","0,01792","0,01515","0,015"
22,"0,03435","0,0302","0,02495","0,02188","0,02079","0,01792","0,01515","0,015"
23,"0,03435","0,0302","0,02495","0,02188","0,02079","0,01792","0,01515","0,015"
24,"0,03435","0,0302","0,02495","0,02188","0,02079","0,01792","0,01515","0,015"
25,"0,03435","0,0302","0,02495","0,02188","0,02079","0,01792","0,01515","0,015"
26,"0,03435","0,0302","0,02495","0,02188","0,02079","0,01792","0,01515","0,015"
27,"0,03435","0,0302","0,02495","0,02188","0,02079","0,01792","0,01515","0,015"
28,"0,03435","0,0302","0,02495","0,02188","0,02079","0,01792","0,01515","0,015"
29,"0,03435","0,0302","0,02495","0,02188","0,02079","0,01792","0,01515","0,015"
30,"0,03435","0,0302","0,02495","0,02188","0,02079","0,01792","0,01515","0,015"
31,"0,03564","0,03128","0,02594","0,02267","0,02158","0,01861","0,01584","0,01568"
32,"0,03703","0,03257","0,02693","0,02356","0,02247","0,0195","0,01663","0,01647"
33,"0,03851","0,03386","0,02802","0,02445","0,02336","0,0203","0,01742","0,01725"
34,"0,04029","0,03534","0,0293","0,02564","0,02435","0,02129","0,01822","0,01803"
35,"0,04217","0,03703","0,03069","0,02683","0,02554","0,02237","0,01921","0,01901"
36,"0,04445","0,03901","0,03227","0,02831","0,02693","0,02366","0,02039","0,02019"
37,"0,04626","0,04128","0,03416","0,0299","0,02851","0,02515","0,02178","0,02156"
38,"0,0477","0,04396","0,03633","0,03178","0,03029","0,02683","0,02336","0,02313"
39,"0,04941","0,04571","0,03881","0,03396","0,03227","0,02881","0,02515","0,02489"
40,"0,05112","0,04856","0,04138","0,03623","0,03445","0,03089","0,02713","0,02685"
41,"0,05421","0,05149","0,04406","0,03851","0,03673","0,03307","0,02911","0,02881"
42,"0,05729","0,05444","0,04683","0,04099","0,03901","0,03524","0,03119","0,03087"
43,"0,06039","0,05737","0,0497","0,04346","0,04138","0,03762","0,03326","0,03293"
44,"0,06259","0,05945","0,05224","0,04604","0,04386","0,0401","0,03544","0,03504"
45,"0,06479","0,06153","0,05453","0,04871","0,04643","0,04257","0,03782","0,03716"
46,"0,06695","0,0636","0,05681","0,05168","0,0492","0,04508","0,04","0,03906"
