Bud Gtd 50 - 60,,,,,,,,
Age,Day one option,1 wk,4 wks,8 wks,13 wks,26 wks,52 wks,104 wks
17,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,0109","0,01079"
18,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,0109","0,01079"
19,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,0109","0,01079"
20,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,0109","0,01079"
21,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,0109","0,01079"
22,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,0109","0,01079"
23,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,0109","0,01079"
24,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,0109","0,01079"
25,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,0109","0,01079"
26,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,0109","0,01079"
27,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,0109","0,01079"
28,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,0109","0,01079"
29,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,0109","0,01079"
30,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,0109","0,01079"
31,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,01096","0,01086"
32,"0,03116","0,0233","0,0168","0,01503","0,01439","0,01289","0,01183","0,01171"
33,"0,03116","0,0233","0,0168","0,01503","0,01439","0,01289","0,01191","0,01178"
34,"0,03116","0,0233","0,0168","0,01506","0,01439","0,01294","0,01191","0,01178"
35,"0,03116","0,02331","0,0168","0,01506","0,01441","0,01298","0,01198","0,01187"
36,"0,03263","0,02481","0,01785","0,01601","0,01534","0,01387","0,01286","0,01273"
37,"0,03264","0,02481","0,01785","0,01601","0,01535","0,01393","0,01298","0,01284"
38,"0,03327","0,02629","0,0189","0,01694","0,01623","0,01479","0,01385","0,01371"
39,"0,03327","0,02692","0,01995","0,01789","0,01708","0,0157","0,01473","0,01458"
40,"0,03327","0,02692","0,01995","0,0179","0,0171","0,01578","0,0149","0,01475"
41,"0,03455","0,02796","0,021","0,01882","0,01803","0,01671","0,01581","0,01566"
42,"0,03569","0,02889","0,02181","0,01976","0,01891","0,01759","0,01674","0,01651"
43,"0,03569","0,02889","0,02181","0,01976","0,01891","0,01769","0,01682","0,01651"
44,"0,03663","0,02964","0,02256","0,02086","0,01997","0,0188","0,01786","0,01741"
45,"0,03775","0,03056","0,02344","0,02151","0,02057","0,01958","0,01876","0,0179"
46,"0,03889","0,03147","0,02432","0,02206","0,02111","0,02018","0,01941","0,01833"
47,"0,0416","0,03366","0,02619","0,02363","0,02261","0,02166","0,02085","0,01947"
48,"0,04428","0,03584","0,02805","0,02536","0,02426","0,02315","0,0223","0,02053"
49,"0,04586","0,03711","0,02915","0,02617","0,02503","0,02409","0,02289","0,02073"
50,"0,04747","0,03842","0,0304","0,02727","0,02609","0,02525","0,02407","0,02137"
51,"0,05054","0,0409","0,03277","0,02943","0,02815","0,02738","0,02599","0,0225"
52,"0,05497","0,04448","0,03599","0,03255","0,03113","0,03009","0,02863","0,02398"
53,"0,05922","0,04792","0,03907","0,03569","0,03417","0,03276","0,03126","0,02499"
54,"0,06624","0,05361","0,04367","0,03989","0,03809","0,03606","0,03494","0,029"
55,"0,0688","0,05567","0,04544","0,04102","0,03876","0,0369","0,03625","0,03009"
56,"0,07064","0,05716","0,04677","0,04222","0,03994","0,03782","0,0372","0,03064"
57,"0,0728","0,05891","0,04829","0,04335","0,04103","0,0389","0,0383","0,03144"
58,"0,07497","0,06067","0,04982","0,04452","0,04216","0,04001","0,03944","0,03281"
59,"0,07794","0,06307","0,05188","0,04615","0,0437","0,04154","0,04097","0,03408"
,,,,,,,,
Bud Gtd 61 - 65,,,,,,,,
Age,Day one option,1 wk,4 wks,8 wks,13 wks,26 wks,52 wks,104 wks
17,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,0109","0,01079"
18,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,0109","0,01079"
19,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,0109","0,01079"
20,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,0109","0,01079"
21,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,0109","0,01079"
22,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,0109","0,01079"
23,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,0109","0,01079"
24,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,0109","0,01079"
25,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,0109","0,01079"
26,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,0109","0,01079"
27,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,0109","0,01079"
28,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,0109","0,01079"
29,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,0109","0,01079"
30,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,0109","0,01079"
31,"0,02921","0,02185","0,01575","0,01411","0,0135","0,01198","0,01096","0,01086"
32,"0,03116","0,0233","0,0168","0,01503","0,01439","0,01289","0,01183","0,01171"
33,"0,03116","0,0233","0,0168","0,01503","0,01439","0,0129","0,01191","0,01178"
34,"0,03116","0,0233","0,0168","0,01506","0,01439","0,01294","0,01191","0,01178"
35,"0,03116","0,02331","0,0168","0,01506","0,01441","0,01298","0,01198","0,01187"
36,"0,03264","0,02481","0,01785","0,01601","0,01534","0,01387","0,01286","0,01273"
37,"0,03264","0,02481","0,01785","0,01601","0,01535","0,01393","0,01298","0,01284"
38,"0,03327","0,02629","0,0189","0,01695","0,01623","0,01479","0,01386","0,01371"
39,"0,03327","0,02692","0,01995","0,01789","0,01709","0,0157","0,01473","0,01458"
40,"0,03327","0,02692","0,01995","0,0179","0,0171","0,01578","0,01491","0,01476"
