Bud Rev 50 - 60,,,,,,,,
Age,Day one option,1 wk,4 wks,8 wks,13 wks,26 wks,52 wks,104 wks
17,"0,02754","0,0206","0,01485","0,01331","0,01273","0,0113","0,01028","0,01018"
18,"0,02754","0,0206","0,01485","0,01331","0,01273","0,0113","0,01028","0,01018"
19,"0,02754","0,0206","0,01485","0,01331","0,01273","0,0113","0,01028","0,01018"
20,"0,02754","0,0206","0,01485","0,01331","0,01273","0,0113","0,01028","0,01018"
21,"0,02754","0,0206","0,01485","0,01331","0,01273","0,0113","0,01028","0,01018"
22,"0,02754","0,0206","0,01485","0,01331","0,01273","0,0113","0,01028","0,01018"
23,"0,02754","0,0206","0,01485","0,01331","0,01273","0,0113","0,01028","0,01018"
24,"0,02754","0,0206","0,01485","0,01331","0,01273","0,0113","0,01028","0,01018"
25,"0,02754","0,0206","0,01485","0,01331","0,01273","0,0113","0,01028","0,01018"
26,"0,02754","0,0206","0,01485","0,01331","0,01273","0,0113","0,01028","0,01018"
27,"0,02754","0,0206","0,01485","0,01331","0,01273","0,0113","0,01028","0,01018"
28,"0,02754","0,0206","0,01485","0,01331","0,01273","0,0113","0,01028","0,01018"
29,"0,02754","0,0206","0,01485","0,01331","0,01273","0,0113","0,01028","0,01018"
30,"0,02754","0,0206","0,01485","0,01331","0,01273","0,0113","0,01028","0,01018"
31,"0,02754","0,0206","0,01485","0,01331","0,01273","0,0113","0,01034","0,01024"
32,"0,02938","0,02197","0,01584","0,01417","0,01356","0,01216","0,01116","0,01104"
33,"0,02938","0,02197","0,01584","0,01417","0,01356","0,01216","0,01123","0,01111"
34,"0,02938","0,02197","0,01584","0,0142","0,01356","0,0122","0,01123","0,01111"
35,"0,02938","0,02198","0,01584","0,0142","0,01358","0,01224","0,0113","0,01119"
36,"0,03077","0,02339","0,01683","0,0151","0,01446","0,01308","0,01213","0,012"
37,"0,03078","0,02339","0,01683","0,0151","0,01447","0,01314","0,01224","0,01211"
38,"0,03137","0,02479","0,01782","0,01597","0,01531","0,01395","0,01306","0,01293"
39,"0,03137","0,02538","0,01881","0,01687","0,01611","0,0148","0,01389","0,01375"
40,"0,03137","0,02538","0,01881","0,01688","0,01613","0,01488","0,01405","0,01391"
41,"0,03257","0,02636","0,0198","0,01774","0,017","0,01575","0,01491","0,01476"
42,"0,03365","0,02723","0,02056","0,01863","0,01783","0,01658","0,01578","0,01556"
43,"0,03365","0,02723","0,02056","0,01863","0,01783","0,01668","0,01586","0,01556"
44,"0,03454","0,02795","0,02128","0,01967","0,01883","0,01772","0,01684","0,01641"
45,"0,03559","0,02881","0,0221","0,02029","0,01939","0,01846","0,01769","0,01688"
46,"0,03667","0,02967","0,02293","0,0208","0,0199","0,01903","0,01831","0,01729"
47,"0,03922","0,03174","0,02469","0,02228","0,02131","0,02042","0,01966","0,01835"
48,"0,04175","0,03379","0,02644","0,02391","0,02287","0,02183","0,02103","0,01935"
49,"0,04324","0,03499","0,02748","0,02467","0,0236","0,02271","0,02158","0,01954"
50,"0,04476","0,03622","0,02866","0,02571","0,0246","0,02381","0,02269","0,02015"
51,"0,04765","0,03856","0,0309","0,02775","0,02654","0,02582","0,0245","0,02122"
52,"0,05183","0,04194","0,03394","0,03069","0,02935","0,02837","0,027","0,02261"
53,"0,05584","0,04518","0,03684","0,03365","0,03221","0,03089","0,02947","0,02356"
54,"0,06246","0,05055","0,04117","0,03761","0,03592","0,034","0,03295","0,02734"
55,"0,06486","0,05249","0,04285","0,03868","0,03654","0,03479","0,03417","0,02837"
56,"0,06661","0,0539","0,04409","0,03981","0,03766","0,03566","0,03508","0,02889"
57,"0,06864","0,05554","0,04553","0,04088","0,03869","0,03668","0,03612","0,02964"
58,"0,07069","0,0572","0,04698","0,04198","0,03975","0,03772","0,03718","0,03094"
59,"0,07349","0,05947","0,04892","0,04351","0,0412","0,03916","0,03863","0,03214"
,,,,,,,,
Bud Rev 61 - 65,,,,,,,,
